date_trunc,popular times
2014-12-25 07:00:00,2
2014-12-23 04:00:00,2
2014-12-21 22:00:00,2
2014-12-30 03:00:00,2
2014-12-25 15:00:00,2
2014-12-22 19:00:00,2
2014-12-24 04:00:00,2
2014-12-24 02:00:00,2
2014-12-26 00:00:00,2
2014-12-22 07:00:00,2
2014-12-25 23:00:00,2
2014-12-27 03:00:00,2
2014-12-23 10:00:00,2
2014-12-22 23:00:00,2
2014-12-25 14:00:00,2
2014-12-24 12:00:00,2
2014-12-28 02:00:00,2
2014-12-22 05:00:00,2
2014-12-25 08:00:00,2
2014-12-22 02:00:00,2
2014-12-24 15:00:00,2
2014-12-26 01:00:00,2
2014-12-25 02:00:00,1
2014-12-27 02:00:00,1
2014-12-25 10:00:00,1
2014-12-22 04:00:00,1
2014-12-24 18:00:00,1
2014-12-26 04:00:00,1
2014-12-22 08:00:00,1
2014-12-23 22:00:00,1
2014-12-24 23:00:00,1
2014-12-25 22:00:00,1
2014-12-24 13:00:00,1
2014-12-25 06:00:00,1
2014-12-21 23:00:00,1
2014-12-24 03:00:00,1
2014-12-22 11:00:00,1
2014-12-26 16:00:00,1
2014-12-24 00:00:00,1
2014-12-24 06:00:00,1
2014-12-25 11:00:00,1
2014-12-22 03:00:00,1
2014-12-26 23:00:00,1
2014-12-25 00:00:00,1
2014-12-26 05:00:00,1
2014-12-23 03:00:00,1
2014-12-24 17:00:00,1
2014-12-21 17:00:00,1
